,team,Record,Home Record,Away Record,ATS,OU
0,BAL,5 - 7,4 - 1,4 - 3,7 - 5 - 0,10 - 2 - 0
1,KC,5 - 6,5 - 0,5 - 1,4 - 7 - 0,6 - 5 - 0
2,GB,6 - 5,4 - 2,4 - 1,5 - 6 - 0,5 - 5 - 1
3,PHI,5 - 6,4 - 1,5 - 1,7 - 4 - 0,5 - 6 - 0
4,PIT,5 - 6,4 - 1,4 - 2,8 - 3 - 0,6 - 5 - 0
5,ATL,6 - 5,3 - 3,3 - 2,5 - 6 - 0,4 - 7 - 0
6,ARI,6 - 5,4 - 2,2 - 3,7 - 4 - 0,4 - 6 - 1
7,BUF,5 - 6,5 - 0,4 - 2,7 - 4 - 0,7 - 4 - 0
8,TEN,5 - 6,1 - 4,2 - 4,2 - 8 - 1,6 - 5 - 0
9,CHI,7 - 4,4 - 3,0 - 4,5 - 4 - 2,4 - 7 - 0
10,NE,5 - 7,1 - 4,2 - 5,4 - 7 - 1,7 - 5 - 0
11,CIN,5 - 6,1 - 4,3 - 3,6 - 5 - 0,8 - 3 - 0
12,HOU,6 - 6,4 - 2,3 - 3,5 - 6 - 1,4 - 7 - 1
13,IND,6 - 6,3 - 3,2 - 4,8 - 4 - 0,5 - 7 - 0
14,JAX,5 - 6,2 - 3,0 - 6,6 - 5 - 0,7 - 4 - 0
15,MIA,6 - 5,3 - 3,2 - 3,5 - 6 - 0,5 - 6 - 0
16,CAR,6 - 5,2 - 4,1 - 4,4 - 7 - 0,8 - 3 - 0
17,NO,6 - 5,3 - 3,1 - 4,5 - 6 - 0,7 - 4 - 0
18,MIN,5 - 6,4 - 1,5 - 1,7 - 3 - 1,4 - 7 - 0
19,NYG,6 - 5,0 - 6,2 - 3,3 - 8 - 0,3 - 8 - 0
20,LV,5 - 6,1 - 4,1 - 5,4 - 7 - 0,8 - 3 - 0
21,LAC,6 - 5,4 - 2,3 - 2,8 - 3 - 0,4 - 7 - 0
22,DEN,5 - 7,3 - 2,4 - 3,9 - 3 - 0,7 - 5 - 0
23,SEA,7 - 4,3 - 4,3 - 1,4 - 7 - 0,5 - 6 - 0
24,DAL,5 - 6,0 - 5,4 - 2,3 - 8 - 0,7 - 4 - 0
25,CLE,6 - 5,2 - 4,1 - 4,4 - 7 - 0,5 - 6 - 0
26,WAS,6 - 6,4 - 2,3 - 3,7 - 5 - 0,8 - 4 - 0
27,TB,6 - 5,2 - 4,3 - 2,7 - 4 - 0,7 - 4 - 0
28,LA,6 - 5,3 - 3,2 - 3,4 - 7 - 0,6 - 5 - 0
29,DET,5 - 6,4 - 1,6 - 0,9 - 2 - 0,5 - 5 - 1
30,NYJ,5 - 6,2 - 3,1 - 5,3 - 8 - 0,5 - 6 - 0
31,SF,6 - 5,3 - 3,2 - 3,4 - 7 - 0,6 - 5 - 0
